cityName,lat,lng,temp,humidity,cloudiness,winds
komsomolskiy,67.55,63.78,60.93,58,76,13.33
ekimchan,53.07,132.94,53.37,97,92,2.26
lashio,22.93,97.75,71.82,98,76,1.14
upernavik,72.79,-56.15,34.56,100,24,12.21
albany,42.65,-73.75,73.4,38,20,5.82
talakan,50.29,130.28,62.01,70,24,4.94
severo-kurilsk,50.68,156.12,44.1,100,24,5.28
katsuura,33.93,134.5,72.5,100,75,16.11
namatanai,-3.66,152.44,79.74,100,76,6.4
fort nelson,58.81,-122.69,53.6,58,75,4.7
nelson bay,-32.72,152.14,50.0,61,0,18.34
portmore,17.97,-76.87,89.6,62,20,25.28
klyuchi,52.25,79.17,73.17,49,20,13.78
cherskiy,68.75,161.3,49.95,60,36,8.63
hobart,-42.88,147.33,42.8,70,75,20.8
cabras,5.5,-75.6,66.2,77,75,6.93
iqaluit,63.75,-68.52,55.4,47,20,8.05
gravdal,59.79,5.78,57.2,76,0,18.34
labytnangi,66.66,66.39,67.68,54,88,13.0
thompson,55.74,-97.86,75.2,78,75,9.17
butaritari,3.07,172.79,82.08,100,32,8.52
bilma,18.69,12.92,98.37,13,92,5.06
teya,21.05,-89.07,91.4,59,75,6.93
tsimlyansk,47.65,42.1,76.32,52,0,4.5
okhotsk,59.36,143.24,50.04,98,32,2.37
vetluga,57.85,45.78,61.47,99,88,2.37
yellowknife,62.45,-114.38,55.4,54,75,17.22
nikolskoye,59.7,30.79,68.0,64,40,8.95
peterborough,52.57,-0.24,81.46,45,1,5.82
caconda,-13.73,15.06,64.8,37,64,6.29
kostino,41.7,25.3,68.0,100,92,4.7
hasaki,35.73,140.83,74.53,94,75,6.93
ilulissat,69.22,-51.1,44.6,56,75,13.87
nanortalik,60.14,-45.24,37.44,94,68,33.46
esperance,10.24,-61.45,86.0,70,75,17.22
bambous virieux,-20.34,57.76,71.6,88,75,11.41
timra,62.49,17.33,69.03,37,0,16.11
cabo san lucas,22.89,-109.91,88.12,70,20,6.93
mataura,-46.19,168.86,43.11,75,36,5.17
aswan,24.09,32.9,100.4,15,0,16.11
talnakh,69.49,88.39,50.58,59,32,4.83
hermanus,-34.42,19.24,47.7,68,0,2.59
avarua,-21.21,-159.78,69.8,83,90,16.11
kapaa,22.08,-159.32,74.1,83,75,17.22
jamestown,-33.21,138.6,46.8,93,68,11.65
constitucion,23.99,-104.67,71.6,53,40,9.17
busselton,-33.64,115.35,54.45,100,0,16.58
zhezkazgan,47.8,67.71,78.93,27,0,13.0
novyy urgal,51.07,132.56,56.34,89,20,1.92
douentza,15.01,-2.95,87.75,57,12,3.49
nuevo laredo,27.49,-99.5,87.71,46,75,6.93
dikson,73.51,80.55,40.05,96,36,19.04
arraial do cabo,-22.97,-42.02,78.75,61,20,12.75
saskylakh,71.97,114.09,41.04,82,92,11.65
barrow,-38.31,-60.23,47.61,99,88,9.75
marawi,8.0,124.29,64.98,96,24,2.04
souillac,45.6,-0.6,85.01,35,0,10.29
alice springs,-23.7,133.88,44.6,65,40,4.7
victoria,5.28,115.24,80.6,88,75,1.12
tangshan,39.63,118.17,75.87,90,92,7.18
kaitangata,-46.28,169.85,38.52,74,12,8.86
hambantota,6.12,81.12,80.28,100,68,21.83
tocache,-8.19,-76.51,72.9,50,0,3.27
yumen,40.29,97.04,60.66,55,0,6.73
los llanos de aridane,28.66,-17.92,75.2,64,20,13.87
torbay,47.66,-52.73,66.2,52,75,23.04
odienne,9.51,-7.57,77.49,93,56,3.49
rikitea,-23.12,-134.97,73.98,100,0,9.98
manchar,19.0,73.94,68.67,99,88,3.15
hithadhoo,-0.6,73.08,81.45,100,76,11.77
ormara,25.21,64.64,84.06,91,0,16.24
gbadolite,4.28,21.0,76.14,88,0,2.59
hobyo,5.35,48.53,80.55,65,8,22.62
puerto ayora,-0.74,-90.35,80.6,54,75,16.11
thouars,46.98,-0.22,86.0,33,0,10.29
manaure,11.78,-72.45,95.0,41,20,16.11
ushuaia,-54.81,-68.31,34.07,100,75,4.7
beringovskiy,63.05,179.32,47.7,100,92,8.75
bredasdorp,-34.53,20.04,59.0,54,0,2.24
stokmarknes,68.56,14.91,50.58,92,92,11.32
benghazi,32.12,20.07,77.67,96,8,18.92
punta arenas,-53.16,-70.91,33.8,100,40,9.17
bluff,-23.58,149.07,51.75,53,0,13.67
qaanaaq,77.48,-69.36,32.67,96,56,3.94
khatanga,71.98,102.47,49.5,63,80,7.4
zvenigovo,55.97,48.02,68.0,82,20,4.47
garowe,8.41,48.48,82.89,43,0,19.37
balyaga,51.15,108.93,46.35,70,56,4.38
codrington,-28.95,153.24,48.96,42,0,6.29
kattivakkam,13.22,80.32,87.8,55,20,11.41
roald,62.58,6.12,62.1,77,0,6.93
hilo,19.71,-155.08,62.47,83,90,3.36
broken hill,-31.97,141.45,39.87,94,0,9.64
kortkeros,61.81,51.56,66.2,93,40,3.6
